objectID,objectType,playerID,handedness,gender,ethnicity,race,allModelsBrent,allModelsGabe,allModelsMegan,allModelsMelody
6641,tuna,640,1,2,2,5,0,0,1,0
6640,desk,638,1,1,1,0,0,0,0,0
6639,tortoise,640,1,2,2,5,0,0,1,0
6638,parsley,638,1,1,1,0,0,0,0,0
6637,falcon,640,1,2,2,5,0,0,0,0
6636,table,638,1,1,1,0,0,0,0,0
6635,tie,638,1,1,1,0,0,0,0,0
6634,shield,638,1,1,1,0,0,0,0,0
6633,mirror,638,1,1,1,0,0,0,0,0
6632,bin_(waste),638,1,1,1,0,0,0,0,0
6631,catapult,638,1,1,1,0,0,0,-1,0
6630,armour,640,1,2,2,5,0,0,0,0
6629,kite,638,1,1,1,0,0,0,0,0
6628,salamander,638,1,1,1,0,0,0,1,0
6627,hamster,638,1,1,1,0,0,0,1,0
6626,pliers,634,1,2,2,5,0,0,-1,0
6625,emu,640,1,2,2,5,0,0,1,0
6624,elevator,638,1,1,1,0,0,0,0,0
6623,cabinet,640,1,2,2,5,0,0,0,0
6622,yacht,638,1,1,1,0,0,0,1,0
6621,lantern,638,1,1,1,0,0,0,0,0
6620,microscope,638,1,1,1,0,0,0,0,0
6619,tent,634,1,2,2,5,0,0,0,0
6618,cork,628,0,0,0,0,0,0,0,0
6617,whale,628,0,0,0,0,0,0,1,0
6616,coyote,628,0,0,0,0,0,0,1,0
6615,elephant,628,0,0,0,0,0,0,1,0
6614,shack,628,0,0,0,0,0,0,0,0
6613,perch,628,0,0,0,0,0,0,0,0
6612,tiger,632,1,2,2,5,0,0,-1,0
6611,trolley,628,0,0,0,0,0,0,0,0
6610,apron,628,0,0,0,0,0,0,0,0
6609,cat,628,0,0,0,0,0,0,1,0
6608,bench,628,0,0,0,0,0,0,0,0
6607,robe,628,0,0,0,0,0,0,0,0
6606,camisole,628,0,0,0,0,0,0,0,0
6605,leotards,628,0,0,0,0,0,0,0,0
6604,cart,628,0,0,0,0,0,0,-1,0
6603,pot,628,0,0,0,0,0,0,0,0
6602,seal,628,0,0,0,0,0,0,0,0
6601,octopus,628,0,0,0,0,0,0,-1,0
6600,gate,628,0,0,0,0,0,0,0,0
6599,blouse,628,0,0,0,0,0,0,0,0
6598,pearl,628,0,0,0,0,0,0,0,0
6597,swan,628,0,0,0,0,0,0,1,0
6596,clamp,628,0,0,0,0,0,0,0,0
6594,dresser,624,2,1,2,5,0,0,0,0
6593,pajamas,625,2,2,2,5,0,0,0,0
6592,banner,625,2,2,2,5,0,0,0,0
6591,banjo,624,2,1,2,5,0,0,0,0
6590,mushroom,625,2,2,2,5,0,0,0,0
6589,hammer,624,2,1,2,5,0,0,0,0
6588,unicycle,624,2,1,2,5,0,0,-1,0
6587,finch,625,2,2,2,5,0,0,1,0
6586,ostrich,625,2,2,2,5,0,0,1,0
6585,boots,624,2,1,2,5,0,0,0,0
6584,mushroom,624,2,1,2,5,0,0,0,0
6583,pyramid,624,2,1,2,5,0,0,0,0
6582,coyote,624,2,1,2,5,0,0,1,0
6581,pillow,624,2,1,2,5,0,0,0,0
6580,bullet,624,2,1,2,5,0,0,1,0
6579,pine,624,2,1,2,5,0,0,0,0
6578,trailer,624,2,1,2,5,0,0,0,0
6577,chimp,624,2,1,2,5,0,0,0,0
6576,blouse,624,2,1,2,5,0,0,0,0
6575,seal,624,2,1,2,5,0,0,1,0
6574,pot,624,2,1,2,5,0,0,0,0
6573,leotards,624,2,1,2,5,0,0,0,0
6572,menu,624,2,1,2,5,0,0,0,0
6571,ring_(jewelry),624,2,1,2,5,0,0,0,0
6570,birch,624,2,1,2,5,0,0,0,0
6569,saxophone,624,2,1,2,5,0,0,-1,0
6568,razor,623,1,2,2,4,0,0,0,0
6567,prune,623,1,2,2,4,0,0,0,0
6566,cupboard,623,1,2,2,4,0,0,0,0
6565,duck,623,1,2,2,4,0,0,-1,0
6564,spade,618,1,2,2,4,0,0,0,0
6563,trombone,618,1,2,2,4,0,0,0,0
6562,bus,618,1,2,2,4,0,0,0,0
6561,car,618,1,2,2,4,0,0,1,0
6560,gopher,618,1,2,2,4,0,0,0,0
6559,harpsichord,618,1,2,2,4,0,0,-1,0
6558,trousers,618,1,2,2,4,0,0,0,0
6557,door,618,1,2,2,4,0,0,-1,0
6556,banner,618,1,2,2,4,0,0,0,0
6555,stove,618,1,2,2,4,0,0,0,0
6554,dishwasher,618,1,2,2,4,0,0,0,0
6553,socks,618,1,2,2,4,0,0,0,0
6552,cushion,618,1,2,2,4,0,0,0,0
6551,buggy,618,1,2,2,4,0,0,0,0
6550,slippers,618,1,2,2,4,0,0,1,0
6549,potato,618,1,2,2,4,0,0,0,0
6548,tape_(scotch),618,1,2,2,4,0,0,-1,0
6547,beetle,618,1,2,2,4,0,0,-1,0
6546,sardine,618,1,2,2,4,0,0,-1,0
6545,raisin,618,1,2,2,4,0,0,0,0
6544,deer,618,1,2,2,4,0,0,-1,0
6541,tuna,616,1,1,2,5,0,0,0,0
6540,wagon,616,1,1,2,5,0,0,-1,0
6539,magazine,616,1,1,2,5,0,0,0,0
6538,carpet,616,1,1,2,5,0,0,0,0
6537,shelves,616,1,1,2,5,0,0,0,0
6536,pin,616,1,1,2,5,0,0,0,0
6535,willow,616,1,1,2,5,0,0,0,0
6534,fawn,616,1,1,2,5,0,0,1,0
6533,harpsichord,616,1,1,2,5,0,0,-1,0
6532,bolts,616,1,1,2,5,0,0,0,0
6531,pineapple,616,1,1,2,5,0,0,0,0
6530,camel,616,1,1,2,5,0,0,1,0
6529,sofa,616,1,1,2,5,0,0,0,0
6528,ship,616,1,1,2,5,0,0,1,0
6527,deer,616,1,1,2,5,0,0,1,0
6526,spear,616,1,1,2,5,0,0,1,0
6525,fox,616,1,1,2,5,0,0,1,0
6524,ladle,616,1,1,2,5,0,0,1,0
6523,sheep,616,1,1,2,5,0,0,1,0
6522,bayonet,616,1,1,2,5,0,0,1,0
6521,cup,614,1,1,2,5,0,0,0,0
6520,gopher,614,1,1,2,5,0,0,1,0
6519,cougar,614,1,1,2,5,0,0,1,0
6518,apron,614,1,1,2,5,0,0,0,0
6517,book,614,1,1,2,5,0,0,0,0
6515,cart,601,1,2,2,5,0,0,-1,0
6514,gun,601,1,2,2,5,0,0,1,0
6513,table,601,1,2,2,5,0,0,0,0
6512,pistol,601,1,2,2,5,0,0,1,0
6511,dunebuggy,601,1,2,2,5,0,0,1,0
6510,cow,601,1,2,2,5,0,0,1,0
6509,robe,601,1,2,2,5,0,0,0,0
6508,microscope,601,1,2,2,5,0,0,-1,0
6507,cheese,601,1,2,2,5,0,0,0,0
6506,wasp,601,1,2,2,5,0,0,-1,0
6505,plate,601,1,2,2,5,0,0,0,0
6504,finch,601,1,2,2,5,0,0,1,0
6503,biscuit,601,1,2,2,5,0,0,0,0
6502,shirt,601,1,2,2,5,0,0,0,0
6501,rope,601,1,2,2,5,0,0,0,0
6500,cockroach,601,1,2,2,5,0,0,0,0
6499,chapel,601,1,2,2,5,0,0,0,0
6498,cork,601,1,2,2,5,0,0,0,0
6497,crossbow,601,1,2,2,5,0,0,1,0
6496,football,602,1,1,2,5,0,0,0,0
6495,cranberry,602,1,1,2,5,0,0,0,0
6494,tangerine,602,1,1,2,5,0,0,0,0
6493,seagull,602,1,1,2,5,0,0,-1,0
6492,cap_(bottle),602,1,1,2,5,0,0,0,0
6491,iguana,602,1,1,2,5,0,0,-1,0
6490,envelope,602,1,1,2,5,0,0,0,0
6489,wand,602,1,1,2,5,0,0,-1,0
6488,screwdriver,602,1,1,2,5,0,0,0,0
6487,telephone,602,1,1,2,5,0,0,-1,0
6486,bucket,602,1,1,2,5,0,0,0,0
6485,box,602,1,1,2,5,0,0,1,0
6484,butterfly,602,1,1,2,5,0,0,0,0
6483,pine,602,1,1,2,5,0,0,0,0
6482,pistol,602,1,1,2,5,0,0,-1,0
6481,hyena,602,1,1,2,5,0,0,0,0
6480,buggy,602,1,1,2,5,0,0,0,0
6478,canary,602,1,1,2,5,0,0,1,0
6477,piano,605,2,2,2,5,0,0,0,0
6476,beans,605,2,2,2,5,0,0,0,0
6475,ship,602,1,1,2,5,0,0,1,0
6474,train,605,2,2,2,5,0,0,-1,0
6473,finch,605,2,2,2,5,0,0,0,0
6472,avocado,602,1,1,2,5,0,0,0,0
6471,cabbage,602,1,1,2,5,0,0,0,0
6470,bull,605,2,2,2,5,0,0,0,0
6469,chandelier,605,2,2,2,5,0,0,0,0
6468,goldfish,609,1,2,2,4,0,0,1,0
6466,cap_(hat),602,1,1,2,5,0,0,-1,0
6465,raccoon,605,2,2,2,5,0,0,-1,0
6464,chimp,602,1,1,2,5,0,0,-1,0
6463,broccoli,609,1,2,2,4,0,0,0,0
6462,mink_(coat),602,1,1,2,5,0,0,0,0
6461,mink,605,2,2,2,5,0,0,-1,0
6460,mittens,609,1,2,2,4,0,0,-1,0
6459,bridge,602,1,1,2,5,0,0,0,0
6458,axe,609,1,2,2,4,0,0,1,0
6457,clam,605,2,2,2,5,0,0,0,0
6456,perch,602,1,1,2,5,0,0,1,0
6455,scissors,605,2,2,2,5,0,0,0,0
6454,chicken,605,2,2,2,5,0,0,0,0
6453,donkey,602,1,1,2,5,0,0,0,0
6452,donkey,605,2,2,2,5,0,0,-1,0
6451,machete,602,1,1,2,5,0,0,-1,0
6450,wagon,602,1,1,2,5,0,0,-1,0
6449,garage,605,2,2,2,5,0,0,0,0
6448,moose,602,1,1,2,5,0,0,0,0
6447,bike,605,2,2,2,5,0,0,-1,0
6446,hare,607,1,2,1,6,0,0,-1,0
6445,trolley,605,2,2,2,5,0,0,-1,0
6444,cabbage,607,1,2,1,6,0,0,0,0
6443,mirror,607,1,2,1,6,0,0,0,0
6442,onions,607,1,2,1,6,0,0,0,0
6441,fork,605,2,2,2,5,0,0,0,0
6440,buffalo,607,1,2,1,6,0,0,-1,0
6439,turtle,607,1,2,1,6,0,0,0,0
6438,beets,605,2,2,2,5,0,0,0,0
6437,bowl,607,1,2,1,6,0,0,-1,0
6436,partridge,607,1,2,1,6,0,0,-1,0
6435,brush,605,2,2,2,5,0,0,0,0
6434,piano,607,1,2,1,6,0,0,0,0
6433,mink,602,1,1,2,5,0,0,-1,0
6432,bison,606,1,1,2,5,0,0,1,0
6431,falcon,605,2,2,2,5,0,0,-1,0
6430,anchor,602,1,1,2,5,0,0,0,0
6429,bow_(ribbon),602,1,1,2,5,0,0,0,0
6428,tuna,601,1,2,2,5,0,0,1,0
6427,skateboard,599,1,1,2,5,0,0,0,0
6426,mink_(coat),598,0,0,0,0,0,0,0,0
